solver,metric,snr,value
SD-LARS,FDR,0.100000,0.000000
SD-LARS,TPR,0.100000,0.002500
SD-LARS,AvgL,0.100000,2.615000
SD-LARS,AvgT,0.100000,4.850000
SD-LARS,FDR,0.200000,0.007917
SD-LARS,TPR,0.200000,0.022000
SD-LARS,AvgL,0.200000,4.710000
SD-LARS,AvgT,0.200000,4.930000
SD-LARS,FDR,0.500000,0.041371
SD-LARS,TPR,0.500000,0.274000
SD-LARS,AvgL,0.500000,6.865000
SD-LARS,AvgT,0.500000,7.700000
SD-LARS,FDR,0.600000,0.047185
SD-LARS,TPR,0.600000,0.357500
SD-LARS,AvgL,0.600000,6.145000
SD-LARS,AvgT,0.600000,6.025000
SD-LARS,FDR,1.000000,0.044820
SD-LARS,TPR,1.000000,0.751500
SD-LARS,AvgL,1.000000,3.705000
SD-LARS,AvgT,1.000000,7.635000
SD-LARS,FDR,2.000000,0.035290
SD-LARS,TPR,2.000000,0.978500
SD-LARS,AvgL,2.000000,1.905000
SD-LARS,AvgT,2.000000,6.410000
SD-LARS,FDR,5.000000,0.024126
SD-LARS,TPR,5.000000,1.000000
SD-LARS,AvgL,5.000000,1.130000
SD-LARS,AvgT,5.000000,4.790000
SD-OMP,FDR,0.100000,0.000000
SD-OMP,TPR,0.100000,0.002500
SD-OMP,AvgL,0.100000,2.615000
SD-OMP,AvgT,0.100000,8.345000
SD-OMP,FDR,0.200000,0.005000
SD-OMP,TPR,0.200000,0.015500
SD-OMP,AvgL,0.200000,4.660000
SD-OMP,AvgT,0.200000,6.580000
SD-OMP,FDR,0.500000,0.011804
SD-OMP,TPR,0.500000,0.214000
SD-OMP,AvgL,0.500000,6.470000
SD-OMP,AvgT,0.500000,6.365000
SD-OMP,FDR,0.600000,0.018877
SD-OMP,TPR,0.600000,0.320500
SD-OMP,AvgL,0.600000,5.835000
SD-OMP,AvgT,0.600000,7.190000
SD-OMP,FDR,1.000000,0.024073
SD-OMP,TPR,1.000000,0.878500
SD-OMP,AvgL,1.000000,2.650000
SD-OMP,AvgT,1.000000,7.480000
SD-OMP,FDR,2.000000,0.028576
SD-OMP,TPR,2.000000,0.998500
SD-OMP,AvgL,2.000000,1.150000
SD-OMP,AvgT,2.000000,8.690000
SD-OMP,FDR,5.000000,0.030186
SD-OMP,TPR,5.000000,1.000000
SD-OMP,AvgL,5.000000,1.075000
SD-OMP,AvgT,5.000000,8.755000
SD-AFS_rho_0.3,FDR,0.100000,0.005000
SD-AFS_rho_0.3,TPR,0.100000,0.002500
SD-AFS_rho_0.3,AvgL,0.100000,2.615000
SD-AFS_rho_0.3,AvgT,0.100000,5.875000
SD-AFS_rho_0.3,FDR,0.200000,0.010833
SD-AFS_rho_0.3,TPR,0.200000,0.021500
SD-AFS_rho_0.3,AvgL,0.200000,4.660000
SD-AFS_rho_0.3,AvgT,0.200000,4.850000
SD-AFS_rho_0.3,FDR,0.500000,0.031232
SD-AFS_rho_0.3,TPR,0.500000,0.259000
SD-AFS_rho_0.3,AvgL,0.500000,6.500000
SD-AFS_rho_0.3,AvgT,0.500000,6.420000
SD-AFS_rho_0.3,FDR,0.600000,0.020800
SD-AFS_rho_0.3,TPR,0.600000,0.379500
SD-AFS_rho_0.3,AvgL,0.600000,5.735000
SD-AFS_rho_0.3,AvgT,0.600000,7.345000
SD-AFS_rho_0.3,FDR,1.000000,0.031370
